ts_code,trade_date,Close,open,high,low,pre_close,change,pct_chg,Volume,amount
000001.SH,20150513,4375.76,4402.38,4415.63,4342.48,4401.22,-25.459,-0.5785,510490000,780755000
000001.SH,20150514,4378.31,4372.82,4397.75,4329.04,4375.76,2.551,0.0583,449078000,669882000
000001.SH,20150515,4308.69,4366.82,4366.82,4278.55,4378.31,-69.62,-1.5901,439706000,665966000
000001.SH,20150518,4283.49,4277.9,4324.83,4260.51,4308.69,-25.2,-0.5849,380057000,594559000
000001.SH,20150519,4417.55,4285.78,4418.4,4285.78,4283.49,134.061,3.1297,436735000,693813000
000001.SH,20150520,4446.29,4434.98,4520.54,4432.28,4417.55,28.736,0.6505,514106000,806081000
000001.SH,20150521,4529.42,4456.44,4530.48,4438.26,4446.29,83.134,1.8697,464997000,729081000
000001.SH,20150522,4657.6,4584.98,4658.27,4562.99,4529.42,128.174,2.8298,655591000,1007170000
000001.SH,20150525,4813.8,4660.08,4814.67,4656.83,4657.6,156.202,3.3537,682461000,1079300000
000001.SH,20150526,4910.9,4854.85,4911.69,4779.08,4813.8,97.099,2.0171,704893000,1138510000
000001.SH,20150527,4941.71,4932.85,4958.16,4857.06,4910.9,30.817,0.6275,681165000,1116260000
000001.SH,20150528,4620.27,4943.74,4986.5,4614.24,4941.71,-321.448,-6.5048,782965000,1247930000
000001.SH,20150529,4611.74,4603.46,4698.19,4431.56,4620.27,-8.522,-0.1844,611262000,955366000
000001.SH,20150601,4828.74,4633.1,4829.5,4615.23,4611.74,216.994,4.7052,593389000,934455000
000001.SH,20150602,4910.53,4844.7,4911.57,4797.55,4828.74,81.789,1.6938,623748000,998746000
000001.SH,20150603,4909.98,4924.38,4942.06,4822.44,4910.53,-0.549,-0.0112,611454000,1010180000
000001.SH,20150604,4947.1,4912.94,4947.96,4647.41,4909.98,37.124,0.7561,674952000,1052270000
000001.SH,20150605,5023.1,5016.09,5051.63,4898.07,4947.1,75.994,1.5361,772241000,1232300000
000001.SH,20150608,5131.88,5045.69,5146.95,4997.48,5023.1,108.785,2.1657,855035000,1309920000
000001.SH,20150609,5113.53,5145.98,5147.45,5042.96,5131.88,-18.347,-0.3575,729894000,1150810000
000001.SH,20150610,5106.04,5049.2,5164.16,5001.49,5113.53,-7.4981,-0.1466,596969000,1005430000
000001.SH,20150611,5121.59,5101.44,5122.46,5050.76,5106.04,15.5566,0.3047,563991000,974666000
000001.SH,20150612,5166.35,5143.34,5178.19,5103.4,5121.59,44.7575,0.8739,625628000,1060160000
000001.SH,20150615,5062.99,5174.42,5176.79,5048.74,5166.35,-103.357,-2.0006,637804000,1064990000
000001.SH,20150616,4887.43,5004.41,5029.68,4842.1,5062.99,-175.561,-3.4675,550801000,895421000
000001.SH,20150617,4967.9,4890.55,4983.66,4767.22,4887.43,80.4663,1.6464,537101000,830267000
000001.SH,20150618,4785.36,4942.52,4966.77,4780.87,4967.9,-182.542,-3.6744,507441000,785845000
000001.SH,20150619,4478.36,4689.93,4744.08,4476.5,4785.36,-306.992,-6.4152,452690000,685458000
000001.SH,20150623,4576.49,4471.61,4577.94,4264.77,4478.36,98.1279,2.1912,473526000,693617000
000001.SH,20150624,4690.15,4604.58,4691.77,4552.13,4576.49,113.658,2.4835,543004000,815063000
000001.SH,20150625,4527.78,4711.76,4720.7,4483.55,4690.15,-162.371,-3.462,572798000,865380000
000001.SH,20150626,4192.87,4399.93,4456.9,4139.53,4527.78,-334.905,-7.3967,565218000,787836000
000001.SH,20150629,4053.03,4289.77,4297.47,3875.05,4192.87,-139.843,-3.3353,673786000,904271000
000001.SH,20150630,4277.22,4006.75,4279.97,3847.88,4053.03,224.191,5.5315,709177000,941525000
000001.SH,20150701,4053.7,4214.15,4317.05,4043.37,4277.22,-223.522,-5.2259,598769000,838071000
000001.SH,20150702,3912.77,4058.62,4080.39,3795.25,4053.7,-140.933,-3.4766,586016000,736007000
000001.SH,20150703,3686.92,3793.71,3927.13,3629.56,3912.77,-225.852,-5.7722,548163000,648054000
000001.SH,20150706,3775.91,3975.21,3975.21,3653.04,3686.92,88.9969,2.4139,831139000,943420000
000001.SH,20150707,3727.12,3654.78,3750.57,3585.4,3775.91,-48.7874,-1.2921,698819000,776073000
000001.SH,20150708,3507.19,3467.4,3599.25,3421.53,3727.12,-219.932,-5.9009,680357000,700248000
000001.SH,20150709,3709.33,3432.45,3748.48,3373.54,3507.19,202.138,5.7635,656915000,673311000
000001.SH,20150710,3877.8,3707.46,3959.22,3677.43,3709.33,168.473,4.5419,586364000,680434000
000001.SH,20150713,3970.39,3918.99,4030.19,3858.64,3877.8,92.5844,2.3875,643489000,782431000
000001.SH,20150714,3924.49,3958.37,4035.43,3855.56,3970.39,-45.9007,-1.1561,670559000,830075000
000001.SH,20150715,3805.7,3874.97,3914.27,3741.25,3924.49,-118.784,-3.0267,601301000,700537000
000001.SH,20150716,3823.18,3758.5,3877.51,3688.44,3805.7,17.4722,0.4591,492256000,569859000
000001.SH,20150717,3957.35,3831.42,3994.48,3814.15,3823.18,134.176,3.5095,481726000,593067000
000001.SH,20150720,3992.11,3948.42,4021.33,3927.12,3957.35,34.758,0.8783,539107000,688256000
000001.SH,20150721,4017.67,3939.9,4041.82,3912.8,3992.11,25.5652,0.6404,504288000,646417000
000001.SH,20150722,4026.04,3996.43,4042.34,3960.86,4017.67,8.3702,0.2083,520732000,678832000
000001.SH,20150723,4123.92,4022.27,4132.61,4019.04,4026.04,97.8784,2.4311,563586000,743532000
000001.SH,20150724,4070.91,4124.75,4184.45,4044.83,4123.92,-53.0154,-1.2856,627425000,843022000
000001.SH,20150727,3725.56,3985.57,4051.16,3720.44,4070.91,-345.35,-8.4834,556003000,721298000
000001.SH,20150728,3663,3573.14,3762.53,3537.36,3725.56,-62.5558,-1.6791,563330000,685058000
000001.SH,20150729,3789.17,3689.82,3792.07,3612.06,3663,126.166,3.4443,434352000,557492000
